"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","played","son","time","school","feel","day","friend","found","dog","watched"
"2","dinner","night","family","finished","happiness","moment","birthday","job","walk","bought"
"3","game","daughter","visit","completed","people","surprise","talked","received","nice","finally"
"4","favorite","husband","enjoyed","event","life","love","fun","money","started","car"
"5","won","morning","home","book","makes","sister","brother","shopping","cat","movie"
"6","lunch","wife","house","finally","person","mother","celebrated","purchased","run","girlfriend"
"7","food","hours","spend","started","live","life","enjoyed","buy","park","weeks"
"8","eat","home","trip","college","positive","called","met","free","beautiful","ive"
"9","ate","told","weekend","class","experience","mom","party","store","weather","song"
"10","cooked","sleep","day","project","world","gift","meet","promotion","taking","drive"
"11","delicious","cleaned","planned","read","happened","phone","girl","pay","bike","listening"
"12","restaurant","love","spent","hard","joy","baby","laugh","card","rain","amazing"
"13","video","brought","moved","passed","pleasant","waiting","nice","company","ride","fixed"
"14","team","didnt","vacation","graduation","change","dad","attended","online","helped","music"
"15","local","woke","kids","exam","emotional","excited","event","managed","planted","funny"
"16","meal","boyfriend","summer","successfully","exercise","office","coworker","expected","garden","computer"
"17","pizza","coffee","coming","learned","realized","smile","wedding","boss","puppy","tickets"
"18","breakfast","nice","town","goal","god","date","close","saved","perfect","recently"
"19","wife","relax","stay","lost","research","parents","cousin","paid","stopped","pretty"
"20","win","bed","beach","proud","event","father","mine","ice","flowers","season"
